Service Name,Port Number,Transport Protocol
tcpmux,1,udp
compressnet,2,udp
compressnet,3,udp
rje,5,udp
echo,7,udp
discard,9,udp
systat,11,udp
daytime,13,udp
qotd,17,udp
msp,18,udp
chargen,19,udp
ftp-data,20,udp
ftp,21,udp
ssh,22,udp
telnet,23,udp
smtp,25,udp
nsw-fe,27,udp
msg-icp,29,udp
msg-auth,31,udp
dsp,33,udp
time,37,udp
rap,38,udp
rlp,39,udp
graphics,41,udp
name,42,udp
nameserver,42,udp
nicname,43,udp
mpm-flags,44,udp
mpm,45,udp
mpm-snd,46,udp
auditd,48,udp
tacacs,49,udp
re-mail-ck,50,udp
xns-time,52,udp
domain,53,udp
xns-ch,54,udp
isi-gl,55,udp
xns-auth,56,udp
xns-mail,58,udp
acas,62,udp
whoispp,63,udp
whois++,63,udp
covia,64,udp
tacacs-ds,65,udp
sql-net,66,udp
sql*net,66,udp
bootps,67,udp
bootpc,68,udp
tftp,69,udp
gopher,70,udp
netrjs-1,71,udp
netrjs-2,72,udp
netrjs-3,73,udp
netrjs-4,74,udp
deos,76,udp
vettcp,78,udp
finger,79,udp
http,80,udp
www,80,udp
www-http,80,udp
xfer,82,udp
mit-ml-dev,83,udp
ctf,84,udp
mit-ml-dev,85,udp
mfcobol,86,udp
kerberos,88,udp
su-mit-tg,89,udp
dnsix,90,udp
mit-dov,91,udp
npp,92,udp
dcp,93,udp
objcall,94,udp
supdup,95,udp
dixie,96,udp
swift-rvf,97,udp
tacnews,98,udp
metagram,99,udp
hostname,101,udp
iso-tsap,102,udp
gppitnp,103,udp
acr-nema,104,udp
cso,105,udp
csnet-ns,105,udp
3com-tsmux,106,udp
rtelnet,107,udp
snagas,108,udp
pop2,109,udp
pop3,110,udp
sunrpc,111,udp
mcidas,112,udp
auth,113,udp
sftp,115,udp
ansanotify,116,udp
uucp-path,117,udp
sqlserv,118,udp
nntp,119,udp
cfdptkt,120,udp
erpc,121,udp
smakynet,122,udp
ntp,123,udp
ansatrader,124,udp
locus-map,125,udp
nxedit,126,udp
locus-con,127,udp
gss-xlicen,128,udp
pwdgen,129,udp
cisco-fna,130,udp
cisco-tna,131,udp
cisco-sys,132,udp
statsrv,133,udp
ingres-net,134,udp
epmap,135,udp
profile,136,udp
netbios-ns,137,udp
netbios-dgm,138,udp
netbios-ssn,139,udp
emfis-data,140,udp
emfis-cntl,141,udp
bl-idm,142,udp
uma,144,udp
uaac,145,udp
iso-tp0,146,udp
iso-ip,147,udp
jargon,148,udp
aed-512,149,udp
sql-net,150,udp
hems,151,udp
bftp,152,udp
sgmp,153,udp
netsc-prod,154,udp
netsc-dev,155,udp
sqlsrv,156,udp
knet-cmp,157,udp
pcmail-srv,158,udp
nss-routing,159,udp
sgmp-traps,160,udp
snmp,161,udp
snmptrap,162,udp
cmip-man,163,udp
cmip-agent,164,udp
xns-courier,165,udp
s-net,166,udp
namp,167,udp
rsvd,168,udp
send,169,udp
print-srv,170,udp
multiplex,171,udp
cl-1,172,udp
cl/1,172,udp
xyplex-mux,173,udp
mailq,174,udp
vmnet,175,udp
genrad-mux,176,udp
xdmcp,177,udp
nextstep,178,udp
bgp,179,udp
ris,180,udp
unify,181,udp
audit,182,udp
ocbinder,183,udp
ocserver,184,udp
remote-kis,185,udp
kis,186,udp
aci,187,udp
mumps,188,udp
qft,189,udp
gacp,190,udp
prospero,191,udp
osu-nms,192,udp
srmp,193,udp
irc,194,udp
dn6-nlm-aud,195,udp
dn6-smm-red,196,udp
dls,197,udp
dls-mon,198,udp
smux,199,udp
src,200,udp
at-rtmp,201,udp
at-nbp,202,udp
at-3,203,udp
at-echo,204,udp
at-5,205,udp
at-zis,206,udp
at-7,207,udp
at-8,208,udp
qmtp,209,udp
z39-50,210,udp
z39.50,210,udp
914c-g,211,udp
914c/g,211,udp
anet,212,udp
ipx,213,udp
vmpwscs,214,udp
softpc,215,udp
CAIlic,216,udp
dbase,217,udp
mpp,218,udp
uarps,219,udp
imap3,220,udp
fln-spx,221,udp
rsh-spx,222,udp
cdc,223,udp
masqdialer,224,udp
direct,242,udp
sur-meas,243,udp
inbusiness,244,udp
link,245,udp
dsp3270,246,udp
subntbcst-tftp,247,udp
subntbcst_tftp,247,udp
bhfhs,248,udp
rap,256,udp
set,257,udp
esro-gen,259,udp
openport,260,udp
nsiiops,261,udp
arcisdms,262,udp
hdap,263,udp
bgmp,264,udp
x-bone-ctl,265,udp
sst,266,udp
td-service,267,udp
td-replica,268,udp
manet,269,udp
gist,270,udp
http-mgmt,280,udp
personal-link,281,udp
cableport-ax,282,udp
rescap,283,udp
corerjd,284,udp
fxp,286,udp
k-block,287,udp
novastorbakcup,308,udp
entrusttime,309,udp
bhmds,310,udp
asip-webadmin,311,udp
vslmp,312,udp
magenta-logic,313,udp
opalis-robot,314,udp
dpsi,315,udp
decauth,316,udp
zannet,317,udp
pkix-timestamp,318,udp
ptp-event,319,udp
ptp-general,320,udp
pip,321,udp
rtsps,322,udp
texar,333,udp
pdap,344,udp
pawserv,345,udp
zserv,346,udp
fatserv,347,udp
csi-sgwp,348,udp
mftp,349,udp
matip-type-a,350,udp
matip-type-b,351,udp
bhoetty,351,udp
dtag-ste-sb,352,udp
bhoedap4,352,udp
ndsauth,353,udp
bh611,354,udp
datex-asn,355,udp
cloanto-net-1,356,udp
bhevent,357,udp
shrinkwrap,358,udp
scoi2odialog,360,udp
semantix,361,udp
srssend,362,udp
rsvp-tunnel,363,udp
rsvp_tunnel,363,udp
aurora-cmgr,364,udp
dtk,365,udp
odmr,366,udp
mortgageware,367,udp
qbikgdp,368,udp
rpc2portmap,369,udp
codaauth2,370,udp
clearcase,371,udp
ulistproc,372,udp
legent-1,373,udp
legent-2,374,udp
hassle,375,udp
nip,376,udp
tnETOS,377,udp
dsETOS,378,udp
is99c,379,udp
is99s,380,udp
hp-collector,381,udp
hp-managed-node,382,udp
hp-alarm-mgr,383,udp
arns,384,udp
ibm-app,385,udp
asa,386,udp
aurp,387,udp
unidata-ldm,388,udp
ldap,389,udp
uis,390,udp
synotics-relay,391,udp
synotics-broker,392,udp
meta5,393,udp
embl-ndt,394,udp
netcp,395,udp
netware-ip,396,udp
mptn,397,udp
kryptolan,398,udp
iso-tsap-c2,399,udp
osb-sd,400,udp
ups,401,udp
genie,402,udp
decap,403,udp
nced,404,udp
ncld,405,udp
imsp,406,udp
timbuktu,407,udp
prm-sm,408,udp
prm-nm,409,udp
decladebug,410,udp
rmt,411,udp
synoptics-trap,412,udp
smsp,413,udp
infoseek,414,udp
bnet,415,udp
silverplatter,416,udp
onmux,417,udp
hyper-g,418,udp
ariel1,419,udp
smpte,420,udp
ariel2,421,udp
ariel3,422,udp
opc-job-start,423,udp
opc-job-track,424,udp
icad-el,425,udp
smartsdp,426,udp
svrloc,427,udp
ocs-cmu,428,udp
ocs_cmu,428,udp
ocs-amu,429,udp
ocs_amu,429,udp
utmpsd,430,udp
utmpcd,431,udp
iasd,432,udp
nnsp,433,udp
mobileip-agent,434,udp
mobilip-mn,435,udp
dna-cml,436,udp
comscm,437,udp
dsfgw,438,udp
dasp,439,udp
sgcp,440,udp
decvms-sysmgt,441,udp
cvc-hostd,442,udp
cvc_hostd,442,udp
https,443,udp
snpp,444,udp
microsoft-ds,445,udp
ddm-rdb,446,udp
ddm-dfm,447,udp
ddm-ssl,448,udp
as-servermap,449,udp
tserver,450,udp
sfs-smp-net,451,udp
sfs-config,452,udp
creativeserver,453,udp
contentserver,454,udp
creativepartnr,455,udp
macon-udp,456,udp
scohelp,457,udp
appleqtc,458,udp
ampr-rcmd,459,udp
skronk,460,udp
datasurfsrv,461,udp
datasurfsrvsec,462,udp
alpes,463,udp
kpasswd,464,udp
igmpv3lite,465,udp
digital-vrc,466,udp
mylex-mapd,467,udp
photuris,468,udp
rcp,469,udp
scx-proxy,470,udp
mondex,471,udp
ljk-login,472,udp
hybrid-pop,473,udp
tn-tl-w2,474,udp
tcpnethaspsrv,475,udp
tn-tl-fd1,476,udp
ss7ns,477,udp
spsc,478,udp
iafserver,479,udp
iafdbase,480,udp
ph,481,udp
bgs-nsi,482,udp
ulpnet,483,udp
integra-sme,484,udp
powerburst,485,udp
avian,486,udp
saft,487,udp
gss-http,488,udp
nest-protocol,489,udp
micom-pfs,490,udp
go-login,491,udp
ticf-1,492,udp
ticf-2,493,udp
pov-ray,494,udp
intecourier,495,udp
pim-rp-disc,496,udp
retrospect,497,udp
siam,498,udp
iso-ill,499,udp
isakmp,500,udp
stmf,501,udp
mbap,502,udp
intrinsa,503,udp
citadel,504,udp
mailbox-lm,505,udp
ohimsrv,506,udp
crs,507,udp
xvttp,508,udp
snare,509,udp
fcp,510,udp
passgo,511,udp
comsat,512,udp
biff,512,udp
